TABLA,ORDEN,VARIABLE,BLOQUE,DESCRIPCION,TIPO,UNIDAD,DECIMALES,AMBITO,FUENTE,VARIABLE_FUENTE,DERIVACION,UNIVERSO,NA_SIGNIFICA,DIMENSION_IVC,SENTIDO_SUGERIDO,SCRIPT,NOTAS
ageb_indicadores,1,ID_AGEB,Identificación,"Clave única de la AGEB: entidad (2) + municipio (3) + localidad (4) + AGEB (4).",texto,clave,,Ambos,MG2020,CVEGEO,"Urbana: CVEGEO de 13 caracteres. Rural: CVE_ENT + CVE_MUN + '0000' + CVE_AGEB.",,Nunca,Identificación,n/a,03_boundaries.R,"Leer siempre como texto: tiene ceros a la izquierda y CVE_AGEB es alfanumérica. Ver D-03."
ageb_indicadores,2,AMBITO,Identificación,"Ámbito de la AGEB según la capa del Marco Geoestadístico de la que proviene.",categórica,,,Ambos,MG2020,capa {ENT}a / {ENT}ar,"'Urbana' si viene de {ENT}a.shp; 'Rural' si viene de {ENT}ar.shp.",,Nunca,Identificación,n/a,03_boundaries.R,"Valores: Urbana, Rural. Las fuentes de población difieren por ámbito (D-11)."
ageb_indicadores,3,CVE_ENT,Identificación,"Clave de entidad federativa.",texto,clave,,Ambos,MG2020,CVE_ENT,,,Nunca,Identificación,n/a,03_boundaries.R,"01 a 32."
ageb_indicadores,4,NOM_ENT,Identificación,"Nombre de la entidad federativa.",texto,,,Ambos,PIPELINE,ENTITY_NAMES,"Catálogo fijo en 00_config.R.",,Nunca,Identificación,n/a,00_config.R,"Sin acentos (p. ej. 'Ciudad de Mexico', 'Nuevo Leon')."
ageb_indicadores,5,CVE_MUN,Identificación,"Clave de municipio o demarcación territorial (3 dígitos, única solo dentro de la entidad).",texto,clave,,Ambos,MG2020,CVE_MUN,,,Nunca,Identificación,n/a,03_boundaries.R,"La clave municipal completa es CVE_ENT + CVE_MUN."
ageb_indicadores,6,NOM_MUN,Identificación,"Nombre del municipio.",texto,,,Ambos,MG2020,NOMGEO (capa {ENT}mun),,,Nunca,Identificación,n/a,03_boundaries.R,
ageb_indicadores,7,CVE_LOC,Identificación,"Clave de localidad (4 dígitos). En AGEB rurales es '0000' por convención.",texto,clave,,Ambos,MG2020,CVE_LOC,"Rural: '0000' (la AGEB rural no pertenece a una sola localidad).",,Nunca,Identificación,n/a,03_boundaries.R,"Ver D-03."
ageb_indicadores,8,NOM_LOC,Identificación,"Nombre de la localidad.",texto,,,Ambos,MG2020 / CPV2020_ITER,NOMGEO (capa {ENT}l) / NOM_LOC (ITER),"Urbana: nombre de la localidad en el MG. Rural: nombre del ITER si la AGEB tiene una sola localidad; '(varias localidades)' si tiene más.",,E: AGEB rural deshabitada (sin localidades),Identificación,n/a,04_census_urban.R; 05_census_rural.R,"El NOM_LOC del censo urbano no sirve: siempre dice 'Total AGEB urbana' (D-06)."
ageb_indicadores,9,CVE_AGEB,Identificación,"Clave de AGEB (4 caracteres alfanuméricos).",texto,clave,,Ambos,MG2020,CVE_AGEB,,,Nunca,Identificación,n/a,03_boundaries.R,
ageb_indicadores,10,AREA_KM2,Geometría,"Superficie de la AGEB.",decimal,km²,6,Ambos,MG2020,geometría,"Área del polígono en EPSG:6372 (LCC ITRF2008) tras st_make_valid().",,Nunca,Contexto,n/a,03_boundaries.R,"Mínimo nacional 0.0003 km²; las AGEB rurales pueden superar 6,000 km²."
ageb_indicadores,11,CENTROIDE_LON,Geometría,"Longitud de un punto representativo dentro de la AGEB.",decimal,grados decimales (EPSG:4326),6,Ambos,MG2020,geometría,"st_point_on_surface() en EPSG:6372, transformado a EPSG:4326.",,Nunca,Identificación,n/a,03_boundaries.R,"No es el centroide geométrico: se garantiza que cae dentro del polígono (D-07)."
ageb_indicadores,12,CENTROIDE_LAT,Geometría,"Latitud de un punto representativo dentro de la AGEB.",decimal,grados decimales (EPSG:4326),6,Ambos,MG2020,geometría,"Igual que CENTROIDE_LON.",,Nunca,Identificación,n/a,03_boundaries.R,
